frame_idx,timestamp,best_conf,infer_ms,jump_count,single_count,double_count,jump_type,spm,state,peak_detected,peak_accepted,cycle_dt,amp,best_high_y,peak_y
177,7.08,0.9122549295425415,71.52389996917918,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
178,7.12,0.9104028940200806,49.52719999710098,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
179,7.16,0.9093198776245117,59.39559999387711,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
180,7.2,0.9052070379257202,56.559299991931766,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
181,7.24,0.8910386562347412,69.67529997928068,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
182,7.28,0.9124599099159241,55.91110000386834,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
183,7.32,0.8955928087234497,48.22039999999106,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
184,7.36,0.8875528573989868,47.02200001338497,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
185,7.4,0.8839429616928101,66.29930000053719,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
186,7.44,0.8954172730445862,80.19609999610111,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
187,7.48,0.8761163949966431,87.83810003660619,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
188,7.52,0.9007302522659302,52.591699990443885,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
189,7.56,0.918032169342041,60.93789997976273,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
190,7.6,0.9149826765060425,53.41799999587238,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
191,7.64,0.9133616089820862,58.31160000525415,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
192,7.68,0.9035427570343018,54.65760000515729,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
193,7.72,0.9036321640014648,50.28000002494082,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
194,7.76,0.9083787798881531,77.83500000368804,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
195,7.8,0.9110807776451111,96.84469999046996,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
196,7.84,0.8856347799301147,85.10160003788769,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
197,7.88,0.9157497882843018,88.51719996891916,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
198,7.92,0.8748388886451721,69.277000031434,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
199,7.96,0.7998993992805481,78.66100000683218,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
200,8.0,0.6044551134109497,86.6012999904342,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
201,8.04,0.840463399887085,65.73610001942143,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
202,8.08,0.9042505025863647,72.62420002371073,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
203,8.12,0.9063825607299805,53.068200009875,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
204,8.16,0.9114624261856079,69.64120001066476,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
205,8.2,0.9190809726715088,60.890300024766475,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
206,8.24,0.9122929573059082,91.80080000078306,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
207,8.28,0.9199832677841187,90.55770002305508,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
208,8.32,0.9132541418075562,87.37789996666834,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
209,8.36,0.9113876223564148,56.76730000413954,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
210,8.4,0.9075349569320679,58.15129994880408,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
211,8.44,0.8833327293395996,62.348100007511675,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
212,8.48,0.8536946773529053,74.98009997652844,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
213,8.52,0.7141221165657043,40.987999993376434,5,0,5,double,0.0,JUMPING,False,False,,0.0,,
214,8.56,0.8231555223464966,40.365600027143955,5,0,5,double,0.0,STOPPED,False,False,,0.0,,
